provincia,confraria,banco,lat,lon
A Coruña,A Coruña,A Baixada-1-2,43.33650791,-8.383560023
A Coruña,A Coruña,As Maruxas Grande (Sur-Interior),43.32624103,-8.373303216
A Coruña,A Coruña,As Maruxas Pequena,43.32893692,-8.377247253
A Coruña,A Coruña,As Maruxas Pequena - Gancha a Pe,43.32777446,-8.377086448
A Coruña,A Coruña,Barrañán (Praia do Reloxeiro) (Zona F),43.31312041,-8.560493842
A Coruña,A Coruña,Bens (Illa Redonda) (Zona Ll),43.3694818,-8.458122646
A Coruña,A Coruña,Bens (Praia sa Refinería) (Zona L),43.36107903,-8.457790178
A Coruña,A Coruña,Caion (Praia da Salseira) (Zona E),43.31995783,-8.608394669
A Coruña,A Coruña,Canle do Canijote - Gancha A Pe,43.33497864,-8.382169204
A Coruña,A Coruña,Leira (Leira-Caion)  (Zona D),43.31422321,-8.6276566
A Coruña,A Coruña,Leira (Zona B),43.30754248,-8.643412405
A Coruña,A Coruña,Leira (Zona C),43.30786691,-8.63918734
A Coruña,A Coruña,Marxe Dereita,43.33390456,-8.381699003
A Coruña,A Coruña,Marxe Dereita - Gancha A Pe,43.33460566,-8.383135177
A Coruña,A Coruña,Marxe Esquerda - Gancha A Pe,43.33154697,-8.381994295
A Coruña,A Coruña,O Bastiagueiro Pequeno,43.34360137,-8.357011748
A Coruña,A Coruña,O Caínzo,43.32315399,-8.370300917
A Coruña,A Coruña,O Carniceiro,43.33020235,-8.379787647
A Coruña,A Coruña,Orzán,43.37632383,-8.407030601
A Coruña,A Coruña,Os Castelos (Dereita-1) (Zona I),43.32745946,-8.516782341
A Coruña,A Coruña,Os Castelos (Esquerda) (Zona I),43.32611086,-8.519414024
A Coruña,A Coruña,Parque de Abella,43.33863634,-8.385857773
A Coruña,A Coruña,Parque do Carniceiro,43.3315,-8.379971805
A Coruña,A Coruña,Parque Ponte de Pasaxe,43.33007244,-8.380738754
A Coruña,A Coruña,Pedra do Sal (Zona A),43.30413863,-8.656618862
A Coruña,A Coruña,Portiño,43.37804977,-8.447812678
A Coruña,A Coruña,Praia Balcobo Pequeno - Pedra Herba,43.31998412,-8.529365593
A Coruña,A Coruña,Praia de Sta. Cristina,43.33776929,-8.382029882
A Coruña,A Coruña,Praia Sabón (Térmica) (Zona J),43.33296958,-8.506086975
A Coruña,A Coruña,Pta. da Praia de Sta. Cristina,43.34029102,-8.385458649
A Coruña,A Coruña,Riazor,43.37027604,-8.411138034
